announce,issuer,size10,entry,exit,dy_bp,gross_bp,net_bp
2024-08-07,Meta,15.30109100765233,2024-08-07,2024-08-14,-14.420000000000016,115.36000000000013,112.36000000000013
2024-09-25,Oracle,8.343605689273563,2024-09-25,2024-10-02,-0.45999999999997954,3.6799999999998363,0.6799999999998363
2025-01-30,Oracle,8.008006631500765,2025-01-30,2025-02-06,-9.03000000000003,72.24000000000024,69.24000000000024
2025-04-28,Alphabet,7.603620973544545,2025-04-28,2025-05-05,12.370000000000061,-98.96000000000049,-101.96000000000049
2025-09-24,Oracle,21.24371431408341,2025-09-24,2025-10-01,-2.810000000000059,22.480000000000473,19.480000000000473
2025-10-30,Meta,38.90741872844377,2025-10-30,2025-11-06,-0.16999999999995907,1.3599999999996726,-1.6400000000003274
2025-11-03,Alphabet,22.254780042467914,2025-11-03,2025-11-10,0.46999999999997044,-3.7599999999997635,-6.7599999999997635
2025-11-17,Amazon,16.54661555528385,2025-11-17,2025-11-24,-8.279999999999973,66.23999999999978,63.23999999999978
2026-02-02,Oracle,25.737990036096846,2026-02-02,2026-02-09,-7.099999999999966,56.79999999999973,53.79999999999973
2026-02-09,Alphabet,21.881510860722457,2026-02-09,2026-02-17,-15.960000000000036,127.68000000000028,124.68000000000028
2026-03-10,Amazon,38.41699275808221,2026-03-10,2026-03-17,6.100000000000023,-48.80000000000018,-51.80000000000018
2026-04-30,Meta,31.857326314884396,2026-04-30,2026-05-07,0.4900000000000091,-3.9200000000000728,-6.920000000000073
2026-05-05,Alphabet,9.959230117279885,2026-05-05,2026-05-12,4.519999999999982,-36.159999999999854,-39.159999999999854
2026-06-08,Amazon,16.09968563528484,2026-06-08,2026-06-15,-10.160000000000082,81.28000000000065,78.28000000000065
2026-07-07,Amazon,25.07201977769628,2026-07-07,2026-07-14,4.53000000000003,-36.24000000000024,-39.24000000000024
2026-08-06,Alphabet,25.27644745793875,2026-08-06,2026-08-13,-4.550000000000011,36.40000000000009,33.40000000000009
